"subway_name","year","train_flow","passenger_flow"
"77 St",2020,4359,-88943
"77 St",2017,3811,1347539
"79 St",2017,3923,3547965
"79 St",2020,4333,1093858
"8 Av",2020,4392,426931
"8 Av",2017,3955,2912657
"8 St - NYU",2017,1945,1451246
"8 St - NYU",2020,2164,266938
"80 St",2020,2196,247447
"80 St",2017,1981,586913
"81 St - Museum of Natural History",2017,1972,698756
"81 St - Museum of Natural History",2020,2196,60137
"82 St - Jackson Hts",2017,1984,-657810
"82 St - Jackson Hts",2020,2195,-725876
"85 St - Forest Pkwy",2017,1799,584842
"85 St - Forest Pkwy",2020,2046,268925
"86 St",2020,13125,-129698
"86 St",2017,11784,6060309
"88 St",2020,2096,222869
"88 St",2017,1893,501928
"9 Av",2020,2194,-19149
"9 Av",2017,1981,60721
"9 St",2017,1984,932776
"9 St",2020,2196,138884
"90 St - Elmhurst Av",2020,2155,1174848
"90 St - Elmhurst Av",2017,1982,2573126
"96 St",2020,8741,815611
"96 St",2017,7887,5697081
"Alabama Av",2020,2191,-94968
"Alabama Av",2017,1981,11768
"Allerton Av",2017,1955,945434
"Allerton Av",2020,2141,334687
"Aqueduct - N Conduit Av",2017,1975,-244421
"Aqueduct - N Conduit Av",2020,2196,-100699
"Aqueduct Racetrack",2020,2196,143921
"Aqueduct Racetrack",2017,1983,521916
"Astor Pl",2020,2186,-398473
"Astor Pl",2017,1984,-216540
"Astoria - Ditmars Blvd",2017,1948,699814
"Astoria - Ditmars Blvd",2020,2196,-51697
"Astoria Blvd",2020,2196,-99565
"Astoria Blvd",2017,1941,966828
"Atlantic Av",2017,1975,318627
"Atlantic Av",2020,2174,110342
"Atlantic Av - Barclays Ctr",2017,3968,746538
"Atlantic Av - Barclays Ctr",2020,4391,-436587
"Avenue H",2020,2196,19811
"Avenue H",2017,1984,202310
"Avenue I",2020,2097,81756
"Avenue I",2017,1934,16047
"Avenue J",2020,2196,308837
"Avenue J",2017,1984,884000
"Avenue M",2020,2196,395974
"Avenue M",2017,1981,980042
"Avenue N",2020,2196,249672
"Avenue N",2017,1985,253051
"Avenue P",2020,1906,171218
"Avenue P",2017,1831,192396
"Avenue U",2017,5774,1835181
"Avenue U",2020,6512,832181
"Avenue X",2020,2007,148326
"Avenue X",2017,1831,317876
"Bay 50 St",2020,2112,285044
"Bay 50 St",2017,1880,645274
"Bay Pkwy",2020,4153,171520
"Bay Pkwy",2017,3897,363972
"Bay Ridge - 95 St",2017,1982,635932
"Bay Ridge - 95 St",2020,2195,211401
"Bay Ridge Av",2017,1950,614838
"Bay Ridge Av",2020,2196,329959
"Baychester Av",2020,2099,351305
"Baychester Av",2017,1813,815239
"Beach 105 St",2017,1985,-92
"Beach 105 St",2020,2195,-11540
"Beach 25 St",2020,2196,-56014
"Beach 25 St",2017,1980,-20749
"Beach 36 St",2017,1983,-13027
"Beach 36 St",2020,2196,-32557
"Beach 44 St",2020,2196,-38461
"Beach 44 St",2017,1984,-15629
"Beach 60 St",2020,2196,52417
"Beach 60 St",2017,1983,167381
"Beach 67 St",2020,2193,59930
"Beach 67 St",2017,1984,182128
"Beach 90 St",2020,2196,-8948
"Beach 90 St",2017,1982,120332
"Beach 98 St",2020,2196,-14289
"Beach 98 St",2017,1985,12100
"Bedford - Nostrand Avs",2020,2196,303672
"Bedford - Nostrand Avs",2017,1984,1086648
"Bedford Av",2017,1967,-664118
"Bedford Av",2020,2175,512452
"Bedford Park Blvd",2020,2196,322510
"Bedford Park Blvd",2017,1983,814803
"Bedford Park Blvd - Lehman College",2020,2175,-38436
"Bedford Park Blvd - Lehman College",2017,1963,382085
"Bergen St",2020,4391,159159
"Bergen St",2017,3969,1475727
"Beverley Rd",2020,2180,-3849
"Beverley Rd",2017,1963,112172
"Beverly Rd",2017,1980,1010813
"Beverly Rd",2020,2180,465333
"Bleecker St",2020,2196,817533
"Bleecker St",2017,1983,2995401
"Borough Hall",2017,3955,3386718
"Borough Hall",2020,4384,625933
"Botanic Garden",2020,2196,-119264
"Botanic Garden",2017,1985,-185898
"Bowery",2017,1963,252079
"Bowery",2020,2173,-51960
"Bowling Green",2017,3931,1070615
"Bowling Green",2020,4371,-178507
"Briarwood - Van Wyck Blvd",2020,2195,257793
"Briarwood - Van Wyck Blvd",2017,1950,688523
"Brighton Beach",2017,1984,1287851
"Brighton Beach",2020,2194,416466
"Broad Channel",2020,2140,18087
"Broad Channel",2017,1936,55850
"Broad St",2017,1983,1091447
"Broad St",2020,2196,381705
"Broadway",2020,4385,21127
"Broadway",2017,3867,1154213
"Broadway-Lafayette St",2017,1985,-2070445
