"name","borough","year","train_flow","passenger_flow"
"Rockaway Blvd","Queens",2020,2196,698974
"Roosevelt Island","Manhattan",2017,1981,263039
"Roosevelt Island","Manhattan",2020,2196,22518
"Sheepshead Bay","Brooklyn",2017,1959,463744
"Sheepshead Bay","Brooklyn",2020,2159,11201
"Simpson St","Bronx",2017,1985,2069955
"Simpson St","Bronx",2020,2196,738826
"South Ferry","Manhattan",2017,1985,339747
"South Ferry","Manhattan",2020,2196,238604
"Spring St","Manhattan",2017,3956,2476634
"Spring St","Manhattan",2020,4360,663457
"Steinway St","Queens",2017,1984,1207843
"Steinway St","Queens",2020,2195,100069
"Sterling St","Brooklyn",2017,1976,690068
"Sterling St","Brooklyn",2020,2177,168167
"Sutphin Blvd","Queens",2017,1981,496778
"Sutphin Blvd","Queens",2020,2196,129177
"Union St","Brooklyn",2017,1984,344669
"Union St","Brooklyn",2020,2189,41393
"Wall St","Manhattan",2017,3953,1492148
"Wall St","Manhattan",2020,4392,237910
"Whitehall St","Manhattan",2017,1974,331272
"Whitehall St","Manhattan",2020,2191,-90599
"Winthrop St","Brooklyn",2017,1965,1578155
"Winthrop St","Brooklyn",2020,2158,750694
"Woodhaven Blvd","Queens",2017,3969,3709926
"Woodhaven Blvd","Queens",2020,4387,753952
"Woodlawn","Bronx",2017,1972,1627790
"Woodlawn","Bronx",2020,2177,572142
"York St","Brooklyn",2017,1939,1565949
"York St","Brooklyn",2020,2118,363307
