Neighborhood,Borough,Population_2017,Per_Capita_Income_2017,Median_Income_2017,Mean_Travel_Time_Work_2017,Unemployment_Rate_2017
Williamsburg,Brooklyn,18882,11026.0,23188.0,23.0,2.1
Windsor Terrace,Brooklyn,17522,49947.0,91219.0,39.8,3.1
Financial District,Manhattan,39203,96422.0,134266.0,25.1,3.1
Harlem,Manhattan,68603,25397.0,35748.0,37.8,9.3
Harlem,Manhattan,40518,36589.0,53590.0,34.8,4.8
Chinatown,Manhattan,40184,31310.0,38854.0,31.4,4.9
Clinton,Manhattan,41934,73920.0,81845.0,27.3,4.6
East Harlem,Manhattan,48298,19817.0,27377.0,36.1,5.1
East Harlem,Manhattan,49982,32590.0,36766.0,33.1,6.6
East Village,Manhattan,41068,58293.0,73965.0,29.4,3.8
Gramercy,Manhattan,26343,92015.0,116266.0,24.0,4.4
Hamilton Heights,Manhattan,44399,25803.0,44173.0,38.4,6.7
Chelsea,Manhattan,69699,103883.0,109092.0,26.2,3.9
Lenox Hill-Roosevelt Island,Manhattan,71047,93429.0,105539.0,30.2,2.6
Lincoln Square,Manhattan,51778,113175.0,121137.0,28.7,3.6
Lower East Side,Manhattan,63080,28960.0,31180.0,34.1,4.7
Manhattanville,Manhattan,20103,18034.0,30871.0,41.0,5.1
Inwood,Manhattan,43004,22751.0,40278.0,42.3,8.1
Midtown-Midtown South,Manhattan,26120,105400.0,116456.0,23.6,3.6
Morningside Heights,Manhattan,47336,41508.0,63563.0,30.7,3.5
Murray Hill,Manhattan,43655,76871.0,95701.0,25.4,2.8
park-cemetery-etc-Manhattan,Manhattan,1759,4539.0,,0.0,8.6
Soho,Manhattan,36989,118807.0,121638.0,26.0,3.0
Stuyvesant Town-Cooper Village,Manhattan,19278,60652.0,97212.0,30.7,1.9
Turtle Bay-East Midtown,Manhattan,45690,121005.0,119688.0,27.2,2.2
Upper East Side,Manhattan,49438,151052.0,155786.0,27.4,2.1
Upper West Side,Manhattan,114942,88477.0,99320.0,32.3,3.8
Washington Heights,Manhattan,62317,25695.0,48800.0,41.4,7.0
Washington Heights,Manhattan,79005,21034.0,39841.0,38.2,8.4
West Village,Manhattan,61658,109577.0,119593.0,24.2,3.3
Yorkville,Manhattan,71542,83462.0,99282.0,33.8,3.1
Airport,Queens,0,,,,
Astoria-Long Island City,Queens,68317,35542.0,59453.0,37.9,5.0
Auburndale,Queens,17073,32589.0,74862.0,44.1,3.8
Baisley Park,Queens,31094,23032.0,62609.0,47.0,6.9
Bayside,Queens,37551,35575.0,81794.0,41.2,3.8
Bellerose,Queens,21707,28020.0,74950.0,42.7,3.4
The Rockaways,Queens,22761,41229.0,80924.0,46.6,3.8
Briarwood-Jamaica Hills,Queens,35221,27311.0,62588.0,45.2,7.0
Cambria Heights,Queens,16620,31578.0,82100.0,48.0,4.3
College Point,Queens,20643,23845.0,55021.0,40.9,3.9
Corona,Queens,44782,17260.0,45589.0,42.8,3.8
Douglastown-Little Neck,Queens,21420,39829.0,83413.0,40.1,3.4
East Elmhurst,Queens,17586,19854.0,48362.0,43.4,4.9
Flushing,Queens,22672,23311.0,48666.0,41.3,3.5
Elmhurst,Queens,68715,20498.0,44367.0,42.3,4.0
Elmhurst-Maspeth,Queens,22258,23197.0,56797.0,40.2,3.4
The Rockaways,Queens,39592,19896.0,43722.0,47.7,4.9
Flushing,Queens,60539,20644.0,37698.0,41.0,3.3
Forest Hills,Queens,71980,43690.0,70278.0,42.3,3.7
Utopia,Queens,15726,31809.0,71429.0,45.1,5.4
Clearview,Queens,18858,42232.0,76137.0,41.0,3.5
Glen Oaks-Floral Park-New Hyde Park,Queens,20313,40345.0,84340.0,39.1,3.5
