Neighborhood,Borough,Population_2020,Per_Capita_Income_2020,Median_Income_2020,Mean_Travel_Time_Work_2020,Unemployment_Rate_2020
Greenpoint,Brooklyn,30972.0,55891.0,94418.0,37.9,2.7
Williamsburg,Brooklyn,48833.0,62355.0,101460.0,33.5,3.5
Williamsburg,Brooklyn,23804.0,12613.0,30500.0,23.3,2.0
Williamsburg,Brooklyn,45756.0,39369.0,59717.0,36.9,5.0
Brooklyn Heights,Brooklyn,20241.0,101610.0,138721.0,31.8,2.9
Boerum Hill,Brooklyn,29403.0,76340.0,121623.0,32.9,5.5
Fort Green,Brooklyn,27213.0,51709.0,72662.0,36.9,4.9
Clinton Hill,Brooklyn,23057.0,54612.0,91541.0,36.9,3.9
Bedford-Stuyvesant,Brooklyn,63603.0,34070.0,56646.0,39.8,5.3
Bedford-Stuyvesant,Brooklyn,71009.0,32145.0,56218.0,43.8,4.3
Bushwick,Brooklyn,44241.0,28927.0,59974.0,40.2,3.9
Bushwick,Brooklyn,48525.0,25397.0,51649.0,44.2,3.8
Cypress Hills,Brooklyn,31607.0,21723.0,54092.0,43.4,2.5
East New York (North),Brooklyn,30870.0,18878.0,39342.0,45.5,5.4
East New York-New Lots,Brooklyn,37711.0,21531.0,36948.0,48.4,5.6
Spring Creek-Starrett City,Brooklyn,12260.0,22383.0,31904.0,57.0,3.1
East New York-City Line,Brooklyn,33733.0,18588.0,36437.0,41.5,3.0
Carroll Gardens,Brooklyn,48462.0,63989.0,101077.0,36.8,5.0
Park Slope,Brooklyn,47113.0,83601.0,148057.0,39.5,2.7
Windsor Terrace-South Slope,Brooklyn,19205.0,63816.0,114733.0,41.9,2.7
Sunset Park,Brooklyn,41293.0,27974.0,59838.0,41.4,3.8
Sunset Park,Brooklyn,35759.0,19807.0,51137.0,45.1,3.8
Prospect Heights,Brooklyn,18746.0,68807.0,114854.0,37.1,3.3
Crown Heights (North),Brooklyn,69077.0,32799.0,50046.0,43.0,4.4
Crown Heights (South),Brooklyn,40795.0,28602.0,52916.0,40.8,4.5
Prospect Lefferts Gardens-Wingate,Brooklyn,38927.0,34667.0,57636.0,44.7,5.0
Bay Ridge,Brooklyn,66749.0,43443.0,77154.0,45.8,3.2
Dyker Heights,Brooklyn,34621.0,29063.0,63321.0,42.4,3.3
Bensonhurst,Brooklyn,79197.0,25039.0,54156.0,45.5,4.1
Bath Beach,Brooklyn,26443.0,29347.0,65925.0,49.2,3.2
Gravesend-Sheepshead Bay,Brooklyn,46229.0,27338.0,57254.0,48.2,3.2
Borough Park,Brooklyn,22360.0,18209.0,44367.0,44.1,3.0
Borough Park,Brooklyn,47733.0,16512.0,39114.0,32.0,2.4
