"sname","nname_within_50"
"Bedford Ave","Bedford-Stuyvesant"
"Bedford Park Blvd","Bedford Park"
"Bergen St","Boerum Hill"
"Bergen St","Fort Green"
"Bergen St","Park Slope"
"Bleecker St","Greenwich Village"
"Borough Hall","Downtown"
"Botanic Garden","Fort Green"
"Bowery","Little Italy"
"Bowery","Lower East Side"
"Bowling Green","Financial District"
"Broad St","Financial District"
"Broadway","Astoria-Long Island City"
"Broadway","Williamsburg"
"Broadway-Lafayette St","Greenwich Village"
"Broadway-Lafayette St","Little Italy"
"Broadway-Lafayette St","Soho"
"Broadway-Nassau St","Financial District"
"Broadway Jct","Bedford-Stuyvesant"
"Broadway Jct","Bushwick"
"Bronx Park East","Morris Park"
"Brook Ave","Mott Haven"
"Brooklyn Bridge","Financial District"
"Brooklyn Bridge","Lower East Side"
"Brooklyn Bridge","Tribeca"
"Buhre Ave","Parkchester"
"Burke Ave","Williams Bridge"
"Burnside Ave","Morris Heights"
"Burnside Ave","Tremont"
"Burnside Ave","University Heights"
"Bushwick Ave","Bushwick"
"Canal St","Chinatown"
"Canal St","Soho"
"Canal St","Tribeca"
"Carroll St","Carroll Gardens"
"Castle Hill Ave","Parkchester"
"Castle Hill Ave","Union Port"
"Cathedral Pky","Morningside Heights"
"Cathedral Pky","Upper West Side"
"Central Ave","Bushwick"
"Chambers St","Lower East Side"
"Chambers St","Tribeca"
"Chauncey St","Bedford-Stuyvesant"
"Chauncey St","Bushwick"
"Christopher St","Greenwich Village"
"Christopher St","West Village"
"Church Ave","Borough Park"
"City Hall","Financial District"
"City Hall","Tribeca"
"Classon Ave","Fort Green"
"Cleveland St","East Brooklyn"
"Clinton Ave","Fort Green"
"Cortlandt St","Financial District"
"Court Sq","Sunny Side"
"Court St","Downtown"
"Crescent St","East Brooklyn"
"Cypress Ave","Mott Haven"
"Cypress Hills","Bushwick"
"DeKalb Ave","Bushwick"
"DeKalb Ave","Downtown"
"DeKalb Ave","Fort Green"
"Ditmas Ave","Borough Park"
"Dongan Hills","Midland Beach"
"Dongan Hills","South Beach"
"Dyckman St","Inwood"
"Dyckman St","Washington Heights"
"Dyre Ave","Eastchester"
"E 105th St","Canarsie"
"E 143rd St","Mott Haven"
"E 149th St","Hunts Point"
"E 149th St","Mott Haven"
"E 149th St","South Bronx"
"E 177th St","Parkchester"
"E 177th St","Soundview"
"E 177th St","Union Port"
"E 180th St","Morris Park"
"E Tremont Ave","Tremont"
"East Broadway","Lower East Side"
"Eastern Pky","Fort Green"
"Elder Ave","Soundview"
"Eltingville","Ettingville"
"Essex St","Lower East Side"
"Euclid Ave","East Brooklyn"
"Far Rockaway","The Rockaways"
"Flatbush Ave","Mapleton-Flatlands"
"Flushing Ave","Bedford-Stuyvesant"
"Flushing Ave","Williamsburg"
"Fordham Rd","Fordham"
"Fordham Rd","University Heights"
"Forest Ave","Ridgewood"
"Fort Hamilton Pky","Park Slope"
"Franklin Ave","Fort Green"
"Franklin St","Tribeca"
"Freeman St","South Bronx"
"Fresh Pond Rd","Ridgewood"
"Ft Hamilton Pky","Borough Park"
"Fulton St","Financial District"
"Fulton St","Fort Green"
"Gates St","Bedford-Stuyvesant"
"Gates St","Bushwick"
"Graham Ave","Williamsburg"
"Grand Army Plz","Fort Green"
"Grand Army Plz","Park Slope"
"Grand Central","Midtown"
"Grand Central","Murray Hill"
"Grand St","Lower East Side"
"Grand St","Williamsburg"
"Grant Ave","East Brooklyn"
"Grant City","Midland Beach"
"Grasmere","South Beach"
"Great Kills","Ettingville"
"Great Kills","Great Kills"
"Gun Hill Rd","Baychester"
"Gun Hill Rd","Wakefield-Williamsbridge"
"Gun Hill Rd","Williams Bridge"
"Halsey St","Bedford-Stuyvesant"
"Halsey St","Bushwick"
"Halsey St","Ridgewood"
"Hewes St","Williamsburg"
"High St","Downtown"
"Houston St","Soho"
"Hoyt St","Boerum Hill"
"Hoyt St","Downtown"
"Huguenot","Huguenot"
"Hunters Point Ave","Sunny Side"
"Hunts Point Ave","Hunts Point"
"Hunts Point Ave","South Bronx"
"Intervale Ave","South Bronx"
"Jackson Ave","Mott Haven"
"Jackson Ave","South Bronx"
"Jackson Hts-Roosevelt Ave","Jackson Heights"
"Jamaica","Jamaica"
"Jamaica Center","Jamaica"
"Jay St","Downtown"
"Jefferson Av","Midland Beach"
"Jefferson St","Bushwick"
"Jefferson St","Williamsburg"
"Junction Blvd","Jackson Heights"
"Junius St","Brownsville"
"Kings Hwy","Gravesend-Sheepshead Bay"
"Kingsbridge Rd","Bedford Park"
"Kingsbridge Rd","Fordham"
"Kingsbridge Rd","University Heights"
"Kingston-Throop Aves","Bedford-Stuyvesant"
