"id","Neighborhood","Borough","Population_2020","Per_Capita_Income_2020","Median_Income_2020","Mean_Travel_Time_Work_2020","Unemployment_Rate_2020"
1,"Allerton","The Bronx",28933,20801,41159,48.4,6.8
2,"Alley Pond Park","Queens",39,17864,0,0,0
3,"Annandale","Staten Island",33247,45979,113529,47.3,1.5
4,"Astoria Park","Queens",0,0,0,0,0
5,"Astoria-Long Island City","Queens",28270,40330.3333333333,68649,39.6666666666667,3.66666666666667
6,"Auburndale","Queens",28518,34424,76077,44,2.5
7,"Baisley Park","Queens",33358,27728,71598,49.2,4.9
8,"Barren Island-Floyd Bennett Field","Brooklyn",8,0,2e+05,0,0
9,"Bath Beach","Brooklyn",26443,29347,65925,49.2,3.2
10,"Bay Ridge","Brooklyn",66749,43443,77154,45.8,3.2
11,"Baychester","The Bronx",44547,25611,59816,48.8,5.8
12,"Bayside","Queens",28426,41311,92136,44.6,2.2
13,"Bedford Park","The Bronx",42898,19800,40028,46.3,7
14,"Bedford-Stuyvesant","Brooklyn",67306,33107.5,56432,41.8,4.8
15,"Bellerose","Queens",22120,33961,95119,44.5,2.9
16,"Belmont","The Bronx",27443,14975,27936,43.8,9
17,"Bensonhurst","Brooklyn",79197,25039,54156,45.5,4.1
18,"Bloomfield-Chelsea-Travis","Staten Island",34750,37702,90626,46,2.8
19,"Boerum Hill","Brooklyn",29403,76340,121623,32.9,5.5
20,"Borough Park","Brooklyn",35046.5,17360.5,41740.5,38.05,2.7
21,"Brighton Beach","Brooklyn",25281,27615,41399,45.6,2.7
22,"Bronx Park","The Bronx",15,21600,54998,0,13.3
23,"Brooklyn Heights","Brooklyn",20241,101610,138721,31.8,2.9
24,"Brooklyn Navy Yard","Brooklyn",6,71034,118909,34.6,0
25,"Brownsville","Brooklyn",38543,17922,20414,49.1,9.8
26,"Bushwick","Brooklyn",46383,27162,55811.5,42.2,3.85
27,"Calvary & Mount Zion Cemeteries","Queens",0,0,0,0,0
28,"Calvert Vaux Park","Brooklyn",0,0,0,0,0
29,"Cambria Heights","Queens",18050,37289,100431,50,3.7
30,"Canarsie","Brooklyn",70482,29195,71740,50.3,3.3
31,"Canarsie Park & Pier","Brooklyn",0,0,0,0,0
32,"Carnegie Hill","Manhattan",46592,169260,176770,28.4,1.9
33,"Carroll Gardens","Brooklyn",48462,63989,101077,36.8,5
34,"Central Park","Manhattan",2,0,0,0,0
35,"Charlestown-Richmond Valley","Staten Island",14145,44862,90889,44.7,2.1
36,"Chelsea-Hudson Yards","Manhattan",56206,110534,117497,26.5,3.1
37,"Chinatown","Manhattan",35453,23707,26902,31.9,3.5
38,"Claremont Park","The Bronx",0,0,0,0,0
39,"Claremont Village-Claremont (East)","The Bronx",18741,14411,26304,48.4,8.6
40,"Clearview","Queens",18766,48475,85015,42.5,2.6
41,"Clifton","Staten Island",11869,22061,38154,45.4,2.4
42,"Clinton Hill","Brooklyn",23057,54612,91541,36.9,3.9
43,"Co-op City","The Bronx",32269,30640,52647,51.1,3.4
44,"College Point","Queens",22594,27258,62562,41.9,2.3
45,"Concourse-Concourse Village","The Bronx",51227,18667,31614,42.3,5.6
46,"Coney Island","Brooklyn",39838,23913,33879,49.3,4.4
47,"Corona","Queens",42369.5,18549.5,56585.5,45.2,2.8
48,"Country Club","The Bronx",22402,37084,71234,41.9,3.3
49,"Crotona Park","The Bronx",0,0,0,0,0
50,"Crotona Park East","The Bronx",21447,18064,28951,41.3,6
51,"Crown Heights (North)","Brooklyn",69077,32799,50046,43,4.4
52,"Crown Heights (South)","Brooklyn",40795,28602,52916,40.8,4.5
53,"Cunningham Park","Queens",0,0,0,0,0
54,"Cypress Hills","Brooklyn",31607,21723,54092,43.4,2.5
55,"Douglastown-Little Neck","Queens",21644,47034,96972,44.4,2.4
56,"Dyker Beach Park","Brooklyn",11,0,9999,0,100
57,"Dyker Heights","Brooklyn",34621,29063,63321,42.4,3.3
58,"East Elmhurst","Queens",19957,21893,55507,43.2,3.4
59,"East Harlem","Manhattan",50435.5,30354,35059.5,35.6,4.9
60,"East New York (North)","Brooklyn",30870,18878,39342,45.5,5.4
61,"East New York-City Line","Brooklyn",33733,18588,36437,41.5,3
62,"East New York-New Lots","Brooklyn",37711,21531,36948,48.4,5.6
63,"East Village","Manhattan",63071,53667,61288,30.7,3
64,"Elmhurst","Queens",79483,23791,55186,42.7,2.7
65,"Ferry Point Park-St. Raymond Cemetery","The Bronx",0,0,0,0,0
66,"Financial District","Manhattan",39642,111968,173609,26.3,2.7
67,"Flatbush","Brooklyn",35358,28246.6666666667,56235,46.4333333333333,3.9
