"id","Neighborhood","Borough","Population_2017","Per_Capita_Income_2017","Median_Income_2017","Mean_Travel_Time_Work_2017","Unemployment_Rate_2017"
92,"Mapleton-Flatlands","Brooklyn",58241,27793,69459,47.2,6.4
93,"Mariners Harbor","Staten Island",23256,23239,59106,45.5,3.2
94,"Maspeth","Queens",23667,30876,62820,41,4.4
95,"Middle Village","Queens",31684,34522,72118,40.1,4.2
96,"Midland Beach","Staten Island",17282,33572,77658,40.6,3.1
97,"Midtown-Midtown South","Manhattan",26120,105400,116456,23.6,3.6
98,"Midwood","Brooklyn",40368,27728,46598,38.2,5.3
99,"Morningside Heights","Manhattan",47336,41508,63563,30.7,3.5
100,"Morris Park","The Bronx",22731,20986,46002,42,9.1
101,"Morrisania-Melrose","The Bronx",30392,15083,27931,42.9,6.4
102,"Mott Haven","The Bronx",35362,13388.5,23081,41.95,7.1
103,"Mount Hope","The Bronx",40169,13443,26762,40.9,8.7
104,"Murray Hill","Manhattan",43655,76871,95701,25.4,2.8
105,"Murray Hill","Queens",44665,25826,52762,40.2,3.5
106,"New Brighton","Staten Island",19583.5,28905.5,60591,42.55,4.15
107,"North Side-South Side","Brooklyn",45544,45422,73312,33.4,4.4
108,"Norwood","The Bronx",32074,16648,32396,44.7,9.2
109,"Oakland Gardens","Queens",23457,37845,70660,44.5,3.5
110,"Oakwood","Staten Island",17332,37037,75638,45.8,3.7
111,"Ocean Hill","Brooklyn",25716,19445,35638,45.3,6
112,"Ocean Parkway South","Brooklyn",15103,29113,54104,35.3,3.7
113,"Ozone Park","Queens",18662,25503,70275,43.6,6.6
114,"Park Slope","Brooklyn",60537,68597,113781,38.1,3.7
115,"park-cemetery-etc-Bronx","The Bronx",1414,26998,47979,30.5,6
116,"park-cemetery-etc-Brooklyn","Brooklyn",321,59773,102205,32,8.4
117,"park-cemetery-etc-Manhattan","Manhattan",1759,4539,0,0,8.6
118,"park-cemetery-etc-Queens","Queens",281,29790,58460,29.9,0
119,"park-cemetery-etc-Staten Island","Staten Island",0,0,0,0,0
120,"Parkchester","The Bronx",24963,25195,50466,48.3,8.6
121,"Pelham Parkway","The Bronx",24235,28365,54087,41.1,6.9
122,"Pomonok-Flushing Heights-Hillcrest","Queens",29414,25721,52068,41.9,7.6
123,"Port Richmond","Staten Island",15378,25792,62339,41.3,2.5
124,"Prospect Heights","Brooklyn",17456,54383,89061,40,4.3
125,"Prospect Lefferts Gardens-Wingate","Brooklyn",55671,25151,43485,43.6,6.7
126,"Queens Village","Queens",45828,25260,70880,47.8,7.8
127,"Queensboro Hill","Queens",18082,21073,55740,43.1,4.2
128,"Queensbridge-Ravenswood-Long Island City","Queens",15769,21430,28870,37.5,9.1
129,"Rego Park","Queens",24163,33623,57539,42.3,3.5
130,"Ridgewood","Queens",57860,24563,55788,39.5,4.3
131,"Rikers Island","The Bronx",7503,2332,0,0,0
132,"Riverdale","The Bronx",22410,46209,85783,43.4,4.3
133,"Rosebank","Staten Island",20812,25637,53120,41.6,3.9
134,"Rosedale","Queens",21978,28742,86452,50.4,4.4
135,"Rossville","Staten Island",17061,38559,93405,46,2.5
136,"Rugby-Remsen Village","Brooklyn",45536,23128,45863,46.7,5.9
137,"Soho","Manhattan",36989,118807,121638,26,3
138,"Soundview","The Bronx",36418,16789,32704.5,44.9,7.55
139,"South Beach","Staten Island",20610,27612,65994,41.8,3.3
140,"South Ozone Park","Queens",69511,22153,62651,47.1,7.2
141,"Springfield Gardens","Queens",19683.5,25837,64125,50.2,6
142,"Spuyten Duyvil","The Bronx",25714,40470,68776,44.2,3.7
143,"St. Albans","Queens",43580,26321,71487,50.2,7.8
144,"Starrett City","Brooklyn",10433,18908,24601,52.3,4.8
145,"Steinway","Queens",41838,37056,64259,38.9,4.4
146,"Stuyvesant Town-Cooper Village","Manhattan",19278,60652,97212,30.7,1.9
147,"Sunny Side","Queens",56920,40028,67822,36.3,3.5
148,"Sunset Park","Brooklyn",50162.5,18029.5,43298.5,42.9,5.45
149,"The Rockaways","Queens",31176.5,30562.5,62323,47.15,4.35
150,"Throggs Neck","The Bronx",38839,31055,69686,40.7,5.1
151,"Todt Hill","Staten Island",26686,42579,83355,41.5,2.9
152,"Tremont","The Bronx",33134,12322,22130,44.3,12.1
153,"Turtle Bay-East Midtown","Manhattan",45690,121005,119688,27.2,2.2
154,"Union Port","The Bronx",22508,19809,43412,46,9.4
155,"University Heights","The Bronx",41746,13191,22776,42.5,7
156,"Upper East Side","Manhattan",49438,151052,155786,27.4,2.1
157,"Upper West Side","Manhattan",114942,88477,99320,32.3,3.8
158,"Utopia","Queens",15726,31809,71429,45.1,5.4
159,"Van Cortlandt Village","The Bronx",40030,19886,42564,45.2,8.3
160,"Wakefield-Williamsbridge","The Bronx",35865,25921,57189,44.5,6.9
161,"Washington Heights","Manhattan",70661,23364.5,44320.5,39.8,7.7
162,"West Brighton","Brooklyn",14457,30666,40910,42.7,4.8
163,"West Concourse","The Bronx",28216,14432,26520,41.2,7.4
164,"West Farms-Bronx River","The Bronx",27277,14513,29306,43.8,7.9
165,"West Village","Manhattan",61658,109577,119593,24.2,3.3
166,"Westerleigh-Castleton","Staten Island",19640,36982,79491,37.6,4.2
167,"Whitestone","Queens",25359,36322,79557,37.9,3.4
168,"Williams Bridge","The Bronx",50582,19287,40791,45.8,10.3
169,"Williamsburg","Brooklyn",25344.5,23039.5,38539.5,29.2,3.8
170,"Windsor Terrace","Brooklyn",17522,49947,91219,39.8,3.1
171,"Woodhaven-Richmond Hill","Queens",52241,22201.5,62593.5,45.9,5.4
172,"Woodside","Queens",37798,25064,51485,38.3,4.3
173,"Yorkville","Manhattan",71542,83462,99282,33.8,3.1
